Date,Time,Open,High,Low,Close,Volume
20211014,00:00:00,1791.61,1800.46,1786.60,1795.29,37
20211015,00:00:00,1795.30,1796.38,1764.75,1766.66,38
20211017,00:00:00,1766.57,1771.96,1764.75,1770.87,2
20211018,00:00:00,1770.89,1772.01,1760.18,1763.88,46
20211019,00:00:00,1763.88,1785.04,1763.19,1768.60,42
20211020,00:00:00,1768.60,1788.37,1766.74,1781.37,44
20211021,00:00:00,1781.35,1789.37,1776.37,1784.56,46
20211022,00:00:00,1784.48,1813.75,1782.79,1791.63,53
20211024,00:00:00,1792.47,1794.36,1792.17,1794.31,2
20211025,00:00:00,1794.38,1809.97,1792.16,1807.78,45
20211026,00:00:00,1807.76,1807.87,1782.29,1793.47,37
20211027,00:00:00,1793.48,1798.98,1783.37,1796.52,40
20211028,00:00:00,1796.49,1810.34,1792.20,1799.48,48
20211029,00:00:00,1799.48,1799.86,1771.85,1782.99,47
20211031,00:00:00,1783.03,1783.58,1779.00,1779.96,1
20211101,00:00:00,1779.95,1795.74,1779.93,1791.98,36
20211102,00:00:00,1792.07,1796.29,1786.25,1787.04,30
20211103,00:00:00,1787.02,1787.51,1758.64,1777.16,34
20211104,00:00:00,1777.16,1798.80,1770.66,1791.21,41
20211105,00:00:00,1791.22,1818.13,1784.89,1817.59,42
20211107,00:00:00,1818.38,1818.42,1814.82,1815.71,1
20211108,00:00:00,1815.71,1826.40,1812.31,1824.51,33
20211109,00:00:00,1824.52,1832.63,1819.04,1829.81,56
20211110,00:00:00,1829.81,1868.46,1822.17,1848.44,44
20211111,00:00:00,1848.44,1865.90,1842.75,1862.20,34
20211112,00:00:00,1862.21,1868.57,1845.09,1864.45,36
20211114,00:00:00,1869.36,1869.36,1865.15,1865.44,1
20211115,00:00:00,1865.45,1870.47,1856.32,1862.26,41
